epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2568.2,0.6909,0.61163,0.21362,0.32398,0.31135,0.24498,0.12713,0.67725,0.69703,0.29344,0.027756,0.00925199,0.027756,0.00925199,0.027756,0.00925199,0.027756,0.00925199
41,2632.38,0.71962,0.60451,0.21808,0.31386,0.33204,0.24065,0.12423,0.69274,0.70537,0.2986,0.0276426,0.0092142,0.0276426,0.0092142,0.0276426,0.0092142,0.0276426,0.0092142
42,2696.62,0.68243,0.6125,0.20994,0.33202,0.31719,0.24796,0.13334,0.68851,0.69202,0.29925,0.0275267,0.00917557,0.0275267,0.00917557,0.0275267,0.00917557,0.0275267,0.00917557
43,2760.31,0.71356,0.60327,0.21363,0.3098,0.33294,0.2516,0.13525,0.68107,0.68445,0.29351,0.0274083,0.00913609,0.0274083,0.00913609,0.0274083,0.00913609,0.0274083,0.00913609
44,2824.45,0.67066,0.61297,0.20615,0.34276,0.33628,0.26303,0.14045,0.65662,0.69375,0.29281,0.0272873,0.00909577,0.0272873,0.00909577,0.0272873,0.00909577,0.0272873,0.00909577
45,2888.6,0.67645,0.6124,0.20593,0.32246,0.35051,0.2559,0.13517,0.68128,0.68573,0.29588,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
46,2952.59,0.67112,0.60851,0.204,0.34907,0.3227,0.25037,0.13167,0.68089,0.7144,0.29904,0.027038,0.00901268,0.027038,0.00901268,0.027038,0.00901268,0.027038,0.00901268
47,3016.47,0.67285,0.60048,0.20362,0.35018,0.34084,0.26181,0.13914,0.67627,0.69085,0.2975,0.0269097,0.00896992,0.0269097,0.00896992,0.0269097,0.00896992,0.0269097,0.00896992
48,3080.31,0.66095,0.60789,0.20717,0.33638,0.34736,0.2682,0.14531,0.66891,0.68428,0.29198,0.0267791,0.00892635,0.0267791,0.00892635,0.0267791,0.00892635,0.0267791,0.00892635
49,3144.48,0.67307,0.59434,0.20435,0.33662,0.30968,0.24734,0.12681,0.71018,0.69876,0.31224,0.026646,0.008882,0.026646,0.008882,0.026646,0.008882,0.026646,0.008882
